County.Code,County.Name,Test.Id,Test.Name,Grade,Students.Tested,Mean.Scale.Score,Count.Test.Grade,Pct.Test.Grade,Population,per.capita.income,median.household.income,median.family.income,Spend,ADAttend,Spend.Per.ADA
1,Alameda,7,CST English-Language Arts,2,16814,372.1,464896,0.036167229,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,8,CST Mathematics,2,16802,398.4,464515,0.03617106,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,8,CST Mathematics,3,16198,411.1,443961,0.036485187,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,7,CST English-Language Arts,3,16126,357.2,441572,0.036519526,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,7,CST English-Language Arts,4,15390,387,428906,0.035881988,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,8,CST Mathematics,4,15532,405.8,433012,0.035869676,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,8,CST Mathematics,5,15146,411.6,432775,0.0349974,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,7,CST English-Language Arts,5,15077,378.4,429498,0.035103772,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",5,15107,380.6,431142,0.0350395,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,7,CST English-Language Arts,6,15277,374.9,434374,0.035170153,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,8,CST Mathematics,6,15332,380.3,436563,0.035119788,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,7,CST English-Language Arts,7,14551,378.4,431187,0.033746379,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,9,CST Algebra I,7,2239,431.6,37803,0.059228104,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,8,CST Mathematics,7,12326,370.2,393811,0.031299278,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,9,CST Algebra I,8,11006,354.2,276039,0.039871178,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,13,CST Algebra II,8,31,458.9,680,0.045588235,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,7,CST English-Language Arts,8,14549,373.9,435491,0.033408268,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,29,CST History - Social Science Grade 8,8,15421,363.3,459125,0.033587803,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,28,CST General Mathematics,8,2143,308.4,145549,0.014723564,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,11,CST Geometry,8,1732,428,29035,0.059652144,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",8,14552,404.5,436071,0.033370713,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,10,CST Integrated Math 1,9,121,298.8,980,0.123469388,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,20,CST Biology,9,9473,377,228962,0.041373678,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,21,CST Chemistry,9,186,364.3,5365,0.034669152,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,24,CST Integrated/Coordinated Science 1,9,905,321.4,33944,0.02666156,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,22,CST Earth Science,9,1651,328.8,133961,0.012324482,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,23,CST Physics,9,754,312.8,14112,0.053429705,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,25,CST Integrated/Coordinated Science 2,9,124,323,1351,0.091783864,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,18,CST World History,9,597,320.1,35087,0.017014849,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,11,CST Geometry,9,6613,353.4,144063,0.045903528,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,28,CST General Mathematics,9,473,280.5,45052,0.010498979,1494876,34937,70821,87012,1814932885,193906,9360
